product_id,product_rating
BRAEAQMAYGFHYNTA,3.0
BRAE8AEYGVPNYWG9,5.0
BRAE6FMZTRTKVXU6,5.0
BRAEY6JXWCMQ7B5H,1.0
BRAE3UG9NGHDQZZE,3.5
BRAE6NZAQBHWZNMT,5.0
BRAE44SUWY4R349F,5.0
BRAEBB6TT8GKVG8A,5.0
BRAEY6JXZJFUHUKZ,4.0
BRAEFR6JZYHZNSGG,5.0
BRAEBP5JJA24D2YS,5.0
BRAE7NMEGDDHG3EX,4.0
BRAE5VAWGFY3SGKJ,1.0
BRAE5RWPQAHEHQDM,5.0
BRAEARZHZU3F3YGY,5.0
BRAE7FNDZG77GEZH,5.0
BRAEYMFDYDYVJASW,5.0
BRAE2NF6E8SVUPTD,2.3
BRAE73KFJGNSP2NP,5.0
BRAE9WNZYBZPXK2X,1.0
BRAE2NF7GHGHTURG,1.0
BRAE44SUCTAAMU87,5.0
BRAEDY6WXTGYRBPP,5.0
BRAE5PKZGT7AMYZJ,4.0
BRAEFUKZUHFRJGHZ,3.8
BRAE7YF6F8EF7UQB,2.5
BRAEDGQFWPFGVPNF,5.0
BRAEFSFZUEM8Y5DT,1.0
BRAE8UZGRKACSJCN,5.0
BRAE7MBPXVNMGP6M,5.0
BRAEBKJSNVGDG4DP,5.0
BRAEBB6TWYYGKYQC,5.0
BRAE6BR2Z7YZWPFW,3.0
BRAEA5MZMPW2UACQ,1.0
BRAEFR6JUMNFA5MT,4.0
BRAE7DRSPHX2WNCU,5.0
BRAE6FZPPGFFGCGH,1.0
BRAEBJGZ6FPZVXVQ,5.0
BRAEBMWVSDWZYNK8,5.0
BRAEBJGPRAZZTECS,5.0
BRAE2NF6XGU42KGQ,1.0
BRADM8DWKXXJDEHW,3.8
BRAE2NF6QBUFMJTU,2.7
BRAE2GWB6GSSCFGT,4.0
BRAE3P8YWVZGNYZH,1.0
BRAE8GC4MJY5ZMYV,5.0
BRAE2NF6S2ZYBQWQ,1.0
BRAE6Z79C9EBYNGJ,5.0
BRAEFR6J5FJ4FUZY,4.0
BRAE3UG9P8GJXZ2X,3.5
BRAECBXJJYYERAHY,5.0
BRAE3P8YJEQSSANK,1.0
TOPDUETDZYPSNUMU,5.0
TOPE2K6AZC4ZZAJK,4.0
TOPE8AYJV5KUZ6F9,5.0
ACCEGP52WRHFURYZ,5.0
BOTEDSEN9ZSFUUAQ,1.0
SWIEHF23HGR3ZRFG,1.0
BOTEEMN6NM57HSBU,3.8
SHIE3YW8AGHPXQZZ,4.0
STFDA3Q4YWEEHH2N,2.5
SWCEBFUBFYZ9QHKG,5.0
SHOEEQNJETZKM4PZ,4.0
ACCEETKC9MMAFHTA,5.0
BALEEZ2A4SWPXJU4,5.0
BALEEZ2BZZ3ZT99G,5.0
CLDE34YVWAJ8ZN6R,4.0
DREEAJTKNPH2HBDZ,5.0
SHOE39Q6PDKHYY2F,4.0
DREEYGCXYYZHDGDZ,3.3
DREDUKH4YHWHURG3,5.0
SHODXQRRGKZ74U9M,4.0
HKHE62MHWS8ANGXU,3.0
MNKE8ZWFT44GRURB,1.0
SHODZ5YHTEHZTR3V,5.0
SHOE5QZYBEWT53HQ,3.0
SHOE6PEHVTQKMYQK,1.0
SHOE2VC3UPHYRARN,3.2
SHOEYVXVYAVXACCW,3.1
HKHE62MHFXUB85ZE,1.0
SHOEAPT3RUN6RAJ2,5.0
MNKEYGQMJHGZ4ZRX,2.0
SHOEYSUKSZNTJPJN,3.8
SHOE3MYBTPZVTGYM,1.0
SHODYGFWEWCG6S88,3.2
SHOEFAJ5NAGQCG8H,4.5
SHOE66V8UMNGZKYM,5.0
SHOEAGUMMWFABHUT,5.0
MNKDNW49THH74PVT,2.0
CLDE26U5N2TSHREG,4.3
SHOE4QFHZWCZGCMB,3.0
MUGE4PXNXSEFGFZU,5.0
MUGEBJ7XD5GRWVX8,5.0
MUGE99BWHAB47HZC,5.0
MUGE9HRR6HVCRPZT,5.0
MUGE9HRRXMEBTYR2,5.0
MUGE6A5HZUJ924WH,5.0
MUGE99BWGDNEWEN4,5.0
MUGE9HRRWZBDVHZ6,5.0
MUGE75ZZ3G2NGKXZ,5.0
MUGE5HG8G63YKHFB,4.0
MUGE9HRRKMGKHMRT,5.0
MUGE9P6DPPNA4TUS,5.0
MUGE5PZ6NQHW7GZY,5.0
MUGE5PZ6HEKU5YN8,5.0
MUGEBJ7XKJDMNXY3,5.0
MUGEAWE5MZRRG5GY,5.0
MUGE92Z4VKWKGEXX,5.0
MUGE9HRRTTGNEANM,5.0
MUGE6S9YZ25CHZRN,5.0
MUGE6SYUHXASZBRF,5.0
PACDZNJRS8AHZVEV,4.0
CRTE8389ZZJS6W9E,4.0
SHIDYZAYRM4KKJGR,4.5
NKCDU4RZURUGSZZ6,5.0
NKCE7MMGF9C62JPD,1.0
NKCE9TBZD2EGXYJ3,4.0
NKCEFG3DBZ4EX4SJ,5.0
NKCEYTXEPHXSXDKM,1.0
SHIE8C5NBQV5QWCH,5.0
NKCDXYFHHPBSYJDZ,3.2
PACE5P38T4FEUHZC,4.0
NKCEFG3DFKHHWBEX,2.5
NKCE3GNVPGUYY8AZ,5.0
PACEB7GGJXVVDZFZ,4.0
NKCEFAG9Y7ZHS6M7,5.0
NKCDXYFHPJ4UNFPU,4.7
NKCECZJQS73UZGX3,5.0
NKCEFG3C6TAZNNBY,5.0
PACEDFZPHQUZ9HET,5.0
NKCE7MMGUVXJRFFF,3.0
ACCE87C2Q7Y7YARB,4.0
NKCDWBPZEYFAGCW5,5.0
PTPDXN7BGMQBZUTA,4.0
PTPDVPEXZACXZW3H,2.0
PTPEANGB8CAX4YKW,5.0
ACCDZY24EZN3T4DU,4.1
PTPDVPEXFUZNDZZH,5.0
PTPDVPEXYZGYEEFG,4.4
ACCE93ZDRDSJD3RG,5.0
PTPDZY9JW3HSEPWC,1.0
ACCE2WC8KXAKMNAF,4.3
NKCDUYA5RGAGR4PY,5.0
SHIDYZAGTXAHCJ4G,3.3
SHIECCMNHQD5SZPZ,5.0
ACCEBEZZEQZ3SSAZ,1.0
PTPDVPEXSANDVSJQ,5.0
PITDPPMDFRXXQGNX,3.4
ACCE8C3YU6JDREMH,4.6
PTPEYCF7GZU2T54E,5.0
MFLEYGFH8PFBVRDG,4.0
PTPDZYCE2H35GHG4,2.0
PTPEB88UTZRHHVXD,5.0
PTPE2SSXSTFH6HYY,5.0
NKCE7MMGGHXSGDBC,1.0
PTPDVPEXAA854NEY,5.0
NKCDZHF7J4GGHHSG,1.0
PTPE34YJXKXZVTWK,4.0
SHIE5HZ5UWWXYXWV,4.0
PTPE5WB8Z2C6YYCQ,4.3
NKCDYRHGP2UFXMT7,3.0
AVCEASGPSFXKFXB8,2.4
NKCEFAG9TAF3VAFY,4.2
